n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
2831,13168.733,131.68733,13.168734,1.3168734E-02,13168.733,131.68733,13.168734,1.3168734E-02,1.196052E-05,3.4583984E-03,1.2011E-02,12.011
2841,14273.568,142.73569,14.273568,1.4273568E-02,14273.568,142.73569,14.273568,1.4273568E-02,1.4852799E-05,3.853933E-03,1.2687E-02,12.687
2851,12622.732,126.227325,12.622733,1.2622733E-02,12622.732,126.227325,12.622733,1.2622733E-02,1.1187725E-05,3.3448057E-03,1.1509E-02,11.509001
2861,15180.599,151.80598,15.180599,1.5180599E-02,15180.599,151.80598,15.180599,1.5180599E-02,1.5494077E-05,3.9362516E-03,1.3801E-02,13.801
2871,15394.733,153.94733,15.394733,1.5394733E-02,15394.733,153.94733,15.394733,1.5394733E-02,2.3879573E-05,4.886673E-03,1.3772E-02,13.771999
2881,14796.567,147.96567,14.796567,1.4796567E-02,14796.567,147.96567,14.796567,1.4796567E-02,1.4560196E-05,3.8157825E-03,1.3483E-02,13.483
2891,16907.0,169.06999,16.907,1.6906999E-02,16907.0,169.06999,16.907,1.6906999E-02,1.8266575E-05,4.2739413E-03,1.5018E-02,15.018001
2901,15705.367,157.05368,15.705367,1.5705368E-02,15705.367,157.05368,15.705367,1.5705368E-02,1.5324662E-05,3.9146724E-03,1.4165E-02,14.165
2911,17466.332,174.66333,17.466333,1.7466333E-02,17466.332,174.66333,17.466333,1.7466333E-02,1.7715305E-05,4.2089554E-03,1.5809E-02,15.809
2921,13548.066,135.48067,13.548067,1.3548067E-02,13548.066,135.48067,13.548067,1.3548067E-02,1.0419913E-05,3.227989E-03,1.2499E-02,12.499
2931,14225.933,142.25932,14.225933,1.4225933E-02,14225.933,142.25932,14.225933,1.4225933E-02,1.6109238E-05,4.0136315E-03,1.2763E-02,12.7630005
2941,15609.9,156.099,15.6099,1.56099005E-02,15609.9,156.099,15.6099,1.56099005E-02,1.5107577E-05,3.8868468E-03,1.4218E-02,14.217999
2951,15742.999,157.43,15.742998,1.5742999E-02,15742.999,157.43,15.742998,1.5742999E-02,1.6014517E-05,4.0018144E-03,1.414E-02,14.139999
2961,14853.534,148.53534,14.853535,1.4853534E-02,14853.534,148.53534,14.853535,1.4853534E-02,1.9816041E-05,4.451521E-03,1.3235E-02,13.235
2971,14591.066,145.91066,14.591066,1.4591066E-02,14591.066,145.91066,14.591066,1.4591066E-02,1.5893154E-05,3.9866217E-03,1.3141E-02,13.141
2981,13118.101,131.181,13.1181,1.31181E-02,13118.101,131.181,13.1181,1.31181E-02,1.2321806E-05,3.510243E-03,1.1996E-02,11.996
2991,13461.533,134.61533,13.461533,1.3461533E-02,13461.533,134.61533,13.461533,1.3461533E-02,2.2420443E-05,4.7350232E-03,1.1948E-02,11.948
3001,17395.402,173.95401,17.395401,1.7395401E-02,17395.402,173.95401,17.395401,1.7395401E-02,1.6957809E-05,4.117986E-03,1.6021E-02,16.021
3011,21259.365,212.59366,21.259365,2.1259366E-02,21259.365,212.59366,21.259365,2.1259366E-02,2.637103E-05,5.135273E-03,1.8522E-02,18.522
