n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
661,385001.88,3850.0188,385.00186,0.38500187,385001.88,3850.0188,385.00186,0.38500187,1.2613052E-05,3.551486E-03,0.385188,385.18802
671,403630.88,4036.3088,403.6309,0.40363088,403630.88,4036.3088,403.6309,0.40363088,1.6967893E-05,4.1192104E-03,0.403164,403.164
681,431157.88,4311.579,431.1579,0.4311579,431157.88,4311.579,431.1579,0.4311579,3.8148384E-05,6.1764377E-03,0.429809,429.809
691,426379.75,4263.7974,426.37973,0.42637974,426379.75,4263.7974,426.37973,0.42637974,1.5466958E-05,3.9328053E-03,0.425882,425.88202
701,446638.5,4466.385,446.6385,0.4466385,446638.5,4466.385,446.6385,0.4466385,2.3135724E-05,4.809961E-03,0.445807,445.807
711,443115.25,4431.1523,443.11523,0.44311523,443115.25,4431.1523,443.11523,0.44311523,2.493384E-05,4.9933796E-03,0.443039,443.039
721,459537.53,4595.3755,459.53754,0.45953754,459537.53,4595.3755,459.53754,0.45953754,1.69446E-05,4.116382E-03,0.459078,459.078
731,483149.38,4831.4937,483.14938,0.48314938,483149.38,4831.4937,483.14938,0.48314938,2.3664774E-05,4.864645E-03,0.4818,481.8
741,483533.44,4835.3345,483.53345,0.48353344,483533.44,4835.3345,483.53345,0.48353344,1.7763738E-05,4.214705E-03,0.483466,483.466
751,511774.6,5117.746,511.7746,0.5117746,511774.6,5117.746,511.7746,0.5117746,2.6552692E-05,5.1529305E-03,0.511425,511.42502
761,547615.44,5476.1543,547.6154,0.5476154,547615.44,5476.1543,547.6154,0.5476154,1.8740144E-05,4.328989E-03,0.546927,546.927
771,549329.1,5493.291,549.3291,0.5493291,549329.1,5493.291,549.3291,0.5493291,2.2202576E-05,4.711961E-03,0.548978,548.97797
781,573172.9,5731.7285,573.17285,0.57317287,573172.9,5731.7285,573.17285,0.57317287,4.011433E-05,6.333587E-03,0.572057,572.057
791,576048.7,5760.487,576.04865,0.5760487,576048.7,5760.487,576.04865,0.5760487,3.144691E-05,5.6077545E-03,0.576698,576.698
801,586667.25,5866.6724,586.66724,0.58666724,586667.25,5866.6724,586.66724,0.58666724,2.5813635E-05,5.080712E-03,0.587399,587.399
811,609756.4,6097.5635,609.75635,0.60975635,609756.4,6097.5635,609.75635,0.60975635,2.9030274E-05,5.387975E-03,0.60903,609.03
821,615748.3,6157.483,615.7483,0.6157483,615748.3,6157.483,615.7483,0.6157483,2.6275784E-05,5.125991E-03,0.614867,614.86694
831,632432.3,6324.3228,632.4323,0.6324323,632432.3,6324.3228,632.4323,0.6324323,2.5761485E-05,5.075577E-03,0.632116,632.116
841,676754.1,6767.541,676.7541,0.6767541,676754.1,6767.541,676.7541,0.6767541,4.0988623E-05,6.402236E-03,0.676046,676.046
851,670716.7,6707.167,670.7167,0.6707167,670716.7,6707.167,670.7167,0.6707167,2.5724225E-05,5.0719054E-03,0.670296,670.296
