n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
461,2574.5006,1627.7167,16.277166,1.6277167,1.6277167E-03,1627716.6,16277.167,1627.7167,1.6277167,1.0905623E-04,1.0442999E-02,1.625505,1625.505,1.625505,1625.5049
451,2518.6546,1608.1141,16.08114,1.6081141,1.6081141E-03,1608114.1,16081.142,1608.1141,1.6081141,8.199509E-04,2.8634785E-02,1.596697,1596.697,1.596697,1596.697
441,2462.8086,1570.5399,15.705399,1.57054,1.5705399E-03,1570540.0,15705.399,1570.5399,1.57054,1.0038791E-03,3.1684052E-02,1.561129,1561.129,1.561129,1561.129
431,2406.9626,1542.0557,15.420556,1.5420556,1.5420556E-03,1542055.6,15420.556,1542.0557,1.5420556,1.8894447E-03,4.346774E-02,1.526366,1526.366,1.526366,1526.366
421,2351.1166,1494.6505,14.946505,1.4946505,1.4946505E-03,1494650.5,14946.505,1494.6505,1.4946505,7.853796E-04,2.8024625E-02,1.484935,1484.935,1.484935,1484.935
411,2295.2706,1457.6611,14.5766115,1.4576612,1.4576612E-03,1457661.1,14576.611,1457.6611,1.4576612,1.0127102E-03,3.1823106E-02,1.442835,1442.835,1.442835,1442.835
401,2239.4246,1418.0719,14.180719,1.4180719,1.4180719E-03,1418071.9,14180.719,1418.0719,1.4180719,5.97124E-04,2.443612E-02,1.412957,1412.9569,1.412957,1412.957
391,2183.5786,1372.9647,13.729647,1.3729647,1.3729647E-03,1372964.8,13729.647,1372.9647,1.3729647,6.941375E-04,2.6346488E-02,1.366505,1366.505,1.366505,1366.505
381,2127.7326,1332.4597,13.324597,1.3324597,1.3324597E-03,1332459.8,13324.597,1332.4597,1.3324597,5.6528475E-04,2.3775717E-02,1.324478,1324.478,1.324478,1324.478
371,2071.8866,1295.5627,12.955627,1.2955627,1.2955627E-03,1295562.8,12955.627,1295.5627,1.2955627,4.9960514E-04,2.2351848E-02,1.286126,1286.126,1.286126,1286.126
361,2016.0406,1282.367,12.823669,1.2823669,1.2823669E-03,1282366.9,12823.669,1282.3668,1.2823669,1.6470735E-03,4.0584154E-02,1.267425,1267.4249,1.267425,1267.4249
351,1960.1946,1274.4999,12.744999,1.2744999,1.2744999E-03,1274499.9,12744.999,1274.4999,1.2744999,2.8269875E-03,5.316942E-02,1.271209,1271.209,1.271209,1271.209
341,1904.3486,1235.2825,12.352825,1.2352825,1.2352825E-03,1235282.5,12352.825,1235.2826,1.2352825,2.775983E-03,5.2687597E-02,1.22114,1221.14,1.22114,1221.14
331,1848.5026,1215.5502,12.155501,1.2155501,1.2155501E-03,1215550.1,12155.501,1215.55,1.2155501,3.3037316E-03,5.7478096E-02,1.204451,1204.4509,1.204451,1204.4509
321,1792.6566,1238.9186,12.389186,1.2389187,1.2389186E-03,1238918.6,12389.187,1238.9187,1.2389187,8.548686E-03,9.2459105E-02,1.219802,1219.802,1.219802,1219.8021
311,1736.8106,1112.7808,11.127808,1.1127808,1.1127808E-03,1112780.8,11127.808,1112.7808,1.1127808,1.1936E-03,3.4548517E-02,1.114512,1114.512,1.114512,1114.512
301,1680.9646,1050.1133,10.501132,1.0501132,1.0501132E-03,1050113.3,10501.132,1050.1132,1.0501132,2.6198468E-04,1.6185941E-02,1.053799,1053.7991,1.053799,1053.7991
291,1625.1186,1000.6534,10.006534,1.0006534,1.0006534E-03,1000653.4,10006.534,1000.6534,1.0006534,8.079739E-05,8.988737E-03,1.000054,1000.054,1.000054,1000.05396
281,1569.2726,984.3542,9.843542,0.9843542,9.843542E-04,984354.2,9843.542,984.3542,0.9843542,6.8398356E-04,2.615308E-02,0.976534,976.534,0.976534,976.53406
271,1513.4266,945.8973,9.458973,0.9458972,9.4589725E-04,945897.25,9458.973,945.8972,0.9458972,1.468388E-03,3.831955E-02,0.936267,936.267,0.936267,936.267
261,1457.5806,895.77814,8.957781,0.8957781,8.957781E-04,895778.1,8957.781,895.77814,0.8957781,3.4894087E-04,1.867996E-02,0.889161,889.161,0.889161,889.161
251,1401.7346,863.861,8.63861,0.863861,8.63861E-04,863861.0,8638.61,863.861,0.863861,3.0779434E-04,1.7544068E-02,0.862345,862.345,0.862345,862.345
241,1345.8886,827.6262,8.276262,0.8276262,8.276262E-04,827626.25,8276.263,827.6262,0.8276262,1.4974007E-04,1.2236833E-02,0.827141,827.141,0.827141,827.141
231,1290.0426,799.8499,7.9984994,0.7998499,7.998499E-04,799849.94,7998.4995,799.8499,0.7998499,7.9878955E-04,2.8262865E-02,0.790911,790.911,0.790911,790.911
221,1234.1966,753.7755,7.5377555,0.75377554,7.5377553E-04,753775.56,7537.7554,753.7755,0.75377554,2.2611681E-04,1.5037181E-02,0.750259,750.259,0.750259,750.259
211,1178.3506,725.6471,7.2564707,0.7256471,7.256471E-04,725647.06,7256.4707,725.6471,0.7256471,2.3445836E-04,1.5312034E-02,0.724414,724.414,0.724414,724.414
201,1122.5046,686.59076,6.865907,0.68659073,6.8659073E-04,686590.75,6865.907,686.59076,0.68659073,3.288599E-04,1.8134495E-02,0.68016,680.16,0.68016,680.16003
191,1066.6586,649.68787,6.496879,0.6496879,6.496879E-04,649687.9,6496.879,649.68787,0.6496879,2.0490418E-04,1.4314475E-02,0.647144,647.14404,0.647144,647.14404
181,1010.8126,620.2936,6.202936,0.6202936,6.202936E-04,620293.6,6202.936,620.29364,0.6202936,2.713844E-04,1.647375E-02,0.616917,616.917,0.616917,616.91705
171,954.9666,581.4936,5.814936,0.5814936,5.814936E-04,581493.6,5814.936,581.4936,0.5814936,2.2893163E-04,1.5130487E-02,0.575624,575.62396,0.575624,575.624
161,899.1206,569.45306,5.6945305,0.56945306,5.6945306E-04,569453.06,5694.531,569.45306,0.56945306,5.481476E-04,2.3412552E-02,0.566813,566.813,0.566813,566.813
151,843.2746,529.7509,5.2975087,0.5297509,5.297509E-04,529750.9,5297.509,529.75085,0.5297509,4.4491925E-04,2.109311E-02,0.522081,522.081,0.522081,522.08105
141,787.4286,490.51,4.9051003,0.49051002,4.9051E-04,490510.03,4905.1,490.51,0.49051002,1.2277387E-03,3.50391E-02,0.479431,479.431,0.479431,479.431
131,731.5826,448.95682,4.489568,0.44895682,4.4895682E-04,448956.8,4489.5684,448.95682,0.44895682,3.764622E-04,1.9402634E-02,0.446935,446.935,0.446935,446.935
121,675.7366,411.5984,4.115984,0.41159838,4.115984E-04,411598.38,4115.984,411.5984,0.41159838,5.8540615E-04,2.4195168E-02,0.403815,403.815,0.403815,403.815
111,619.8906,369.8111,3.6981108,0.3698111,3.6981108E-04,369811.1,3698.1108,369.8111,0.3698111,1.8796843E-04,1.3710158E-02,0.366748,366.74802,0.366748,366.74802
101,564.0446,327.64597,3.2764597,0.327646,3.2764598E-04,327646.0,3276.46,327.646,0.327646,4.8789258E-05,6.984931E-03,0.32805,328.05,0.32805,328.05
91,508.1986,302.81857,3.0281858,0.30281857,3.0281857E-04,302818.56,3028.1855,302.81857,0.30281857,1.4552863E-04,1.2063525E-02,0.302796,302.79602,0.302796,302.79602
81,452.3526,282.5794,2.825794,0.2825794,2.825794E-04,282579.4,2825.794,282.5794,0.2825794,3.635395E-04,1.9066712E-02,0.281548,281.548,0.281548,281.54797
71,396.5066,240.7005,2.4070048,0.2407005,2.407005E-04,240700.5,2407.005,240.7005,0.2407005,1.513307E-04,1.2301655E-02,0.24145,241.45,0.24145,241.45
61,340.6606,194.1926,1.941926,0.1941926,1.941926E-04,194192.61,1941.926,194.1926,0.1941926,3.424389E-05,5.851828E-03,0.194576,194.57599,0.194576,194.576
51,284.8146,161.90869,1.619087,0.1619087,1.619087E-04,161908.7,1619.087,161.9087,0.1619087,1.04293875E-04,1.0212437E-02,0.159246,159.246,0.159246,159.246
41,228.9686,132.91579,1.3291578,0.13291578,1.3291578E-04,132915.78,1329.1578,132.91579,0.13291578,6.123671E-05,7.825389E-03,0.131979,131.979,0.131979,131.979
31,173.1226,103.48057,1.0348057,0.10348057,1.0348057E-04,103480.57,1034.8057,103.48057,0.10348057,3.0750427E-05,5.545307E-03,0.102331,102.331,0.102331,102.33099
21,117.2766,69.757835,0.6975784,6.9757834E-02,6.9757836E-05,69757.836,697.57837,69.757835,6.9757834E-02,1.9383646E-05,4.4026864E-03,7.1829E-02,71.829,7.1829E-02,71.828995
11,61.4306,35.40617,0.3540617,3.540617E-02,3.540617E-05,35406.168,354.06168,35.40617,3.540617E-02,2.663457E-05,5.160869E-03,3.2406E-02,32.406,3.2406E-02,32.406
1,5.5846,5.5846,5.5846E-02,5.5846E-03,5.5846E-06,5584.6,55.846,5.5846,5.5846E-03,9.444252E-06,3.0731503E-03,4.721E-03,4.7209997,4.721E-03,4.7209997
