n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
1991,548.265341112957,854.39514,8.543952,0.85439515,8.5439516E-04,854395.1,8543.951,854.39514,0.85439515,9.1385635E-05,9.559584E-03,0.852297,852.297
1981,545.511622674419,831.29694,8.312969,0.831297,8.3129696E-04,831297.0,8312.97,831.297,0.831297,2.33375E-04,1.5276616E-02,0.829147,829.147
1971,542.75790423588,853.33594,8.53336,0.853336,8.5333595E-04,853336.0,8533.359,853.336,0.853336,2.797466E-04,1.6725628E-02,0.850905,850.905
1961,540.004185797342,831.8624,8.3186245,0.83186245,8.3186245E-04,831862.44,8318.624,831.8624,0.83186245,1.7746772E-04,1.3321701E-02,0.830401,830.401
1951,537.250467358804,850.55255,8.505526,0.85055256,8.505526E-04,850552.56,8505.525,850.55255,0.85055256,9.4762414E-05,9.734599E-03,0.847362,847.362
1941,534.496748920266,842.72034,8.427203,0.8427203,8.427203E-04,842720.3,8427.203,842.72034,0.8427203,6.16182E-05,7.849726E-03,0.84255,842.55
1931,531.743030481728,800.8395,8.008394,0.8008394,8.0083945E-04,800839.44,8008.394,800.8394,0.8008394,5.205229E-05,7.2147273E-03,0.800881,800.88104
1921,528.989312043189,848.3992,8.483992,0.84839916,8.483992E-04,848399.2,8483.991,848.3992,0.84839916,1.0368981E-04,1.0182819E-02,0.846425,846.425
1911,526.235593604651,813.8374,8.138374,0.8138374,8.138374E-04,813837.44,8138.374,813.8374,0.8138374,9.600092E-05,9.798006E-03,0.813053,813.05304
1901,523.481875166113,826.86224,8.268622,0.8268622,8.2686223E-04,826862.2,8268.622,826.86224,0.8268622,1.1358263E-04,1.0657515E-02,0.824669,824.669
1891,520.728156727575,861.82275,8.618227,0.8618227,8.6182274E-04,861822.75,8618.228,861.82275,0.8618227,5.7750025E-05,7.5993435E-03,0.860515,860.515
1881,517.974438289037,813.5852,8.135852,0.81358516,8.135852E-04,813585.2,8135.8516,813.58514,0.81358516,4.954778E-05,7.0390184E-03,0.813387,813.38696
1871,515.220719850498,780.1902,7.801902,0.78019017,7.8019017E-04,780190.2,7801.902,780.1902,0.78019017,9.7788405E-05,9.888802E-03,0.777608,777.608
1861,512.46700141196,752.41064,7.524106,0.7524106,7.524106E-04,752410.56,7524.106,752.4106,0.7524106,6.215635E-05,7.88393E-03,0.752786,752.786
1851,509.713282973422,774.3775,7.743775,0.77437747,7.743775E-04,774377.44,7743.7744,774.37744,0.77437747,7.955105E-05,8.919139E-03,0.772076,772.076
1841,506.959564534884,747.0608,7.470608,0.74706084,7.470608E-04,747060.8,7470.6084,747.06085,0.74706084,2.589174E-04,1.609091E-02,0.743772,743.772
1831,504.205846096346,763.7318,7.637318,0.76373184,7.6373183E-04,763731.8,7637.3184,763.7318,0.76373184,1.0186836E-04,1.0092986E-02,0.762844,762.84406
1821,501.452127657807,839.94226,8.399423,0.8399423,8.3994225E-04,839942.25,8399.423,839.94226,0.8399423,5.479491E-05,7.4023586E-03,0.839866,839.86597
1811,498.698409219269,838.0128,8.380129,0.8380128,8.3801284E-04,838012.8,8380.128,838.0128,0.8380128,9.553655E-05,9.77428E-03,0.835685,835.685
1801,495.944690780731,764.4704,7.644704,0.7644704,7.644704E-04,764470.4,7644.704,764.4704,0.7644704,1.0627512E-04,1.0308983E-02,0.762587,762.58704
1791,493.190972342193,761.8671,7.6186714,0.76186717,7.6186715E-04,761867.2,7618.672,761.8672,0.76186717,6.3708205E-05,7.981742E-03,0.761813,761.813
1781,490.437253903654,777.3592,7.773592,0.7773592,7.773592E-04,777359.2,7773.592,777.3592,0.7773592,7.990517E-05,8.938969E-03,0.776592,776.59204
1771,487.683535465116,776.4868,7.7648683,0.7764868,7.764868E-04,776486.8,7764.868,776.4868,0.7764868,8.415469E-05,9.173587E-03,0.775793,775.793
