n, each1e6, each1e4, each1e3, each, mean1e6, mean1e4, mean1e3, mean, variance, stdDev, median, median1e3
1651, 711.1184, 7.111184, 0.7111184, 7.111184e-4, 213335.52, 2133.3552, 213.33551, 0.21333551, 3.310258e-5, 5.753484e-3, 0.211918, 211.918
1641, 717.5667, 7.175667, 0.71756667, 7.175667e-4, 215270.02, 2152.7002, 215.27002, 0.21527001, 3.5092722e-5, 5.923911e-3, 0.214852, 214.852
1631, 680.4707, 6.804707, 0.6804707, 6.804707e-4, 204141.22, 2041.4121, 204.14122, 0.20414121, 4.1802392e-5, 6.465477e-3, 0.204988, 204.988
1621, 763.43805, 7.634381, 0.76343805, 7.6343806e-4, 229031.4, 2290.3142, 229.03142, 0.22903141, 4.296821e-5, 6.5550143e-3, 0.228071, 228.071
1611, 682.57385, 6.8257384, 0.6825738, 6.825738e-4, 204772.14, 2047.7214, 204.77214, 0.20477214, 2.7294123e-5, 5.224378e-3, 0.204346, 204.34601
1601, 663.8886, 6.6388865, 0.66388863, 6.6388864e-4, 199166.6, 1991.666, 199.1666, 0.1991666, 3.3283366e-5, 5.7691736e-3, 0.199354, 199.35399
1591, 642.57404, 6.4257402, 0.6425741, 6.4257404e-4, 192772.2, 1927.722, 192.77222, 0.19277221, 3.0491203e-5, 5.521884e-3, 0.192719, 192.719
1581, 685.01953, 6.8501954, 0.68501955, 6.8501954e-4, 205505.86, 2055.0586, 205.50586, 0.20550586, 2.7584816e-5, 5.2521247e-3, 0.204751, 204.751
1571, 745.3341, 7.453341, 0.7453341, 7.453341e-4, 223600.22, 2236.0022, 223.60022, 0.22360022, 2.8204031e-5, 5.310747e-3, 0.222899, 222.899
1561, 757.9358, 7.579358, 0.7579358, 7.579358e-4, 227380.73, 2273.8074, 227.38074, 0.22738074, 3.0253299e-5, 5.5003e-3, 0.226585, 226.585
1551, 673.01373, 6.7301373, 0.67301375, 6.7301374e-4, 201904.13, 2019.0411, 201.90411, 0.20190412, 2.416465e-5, 4.9157552e-3, 0.200786, 200.786
1541, 620.34827, 6.2034826, 0.6203483, 6.2034826e-4, 186104.47, 1861.0448, 186.10448, 0.18610448, 2.8221693e-5, 5.3124093e-3, 0.185339, 185.339
1531, 628.18445, 6.2818446, 0.6281845, 6.2818447e-4, 188455.34, 1884.5535, 188.45534, 0.18845534, 4.079703e-5, 6.387255e-3, 0.187862, 187.862
1521, 735.14307, 7.351431, 0.73514307, 7.351431e-4, 220542.92, 2205.4292, 220.54292, 0.22054292, 6.786453e-5, 8.237993e-3, 0.219504, 219.504
1511, 706.0491, 7.060491, 0.7060491, 7.060491e-4, 211814.73, 2118.1472, 211.81473, 0.21181473, 2.7005264e-5, 5.196659e-3, 0.210626, 210.626
1501, 640.5473, 6.405473, 0.64054734, 6.405473e-4, 192164.2, 1921.642, 192.1642, 0.1921642, 3.3911303e-5, 5.823341e-3, 0.190719, 190.719
1491, 691.59796, 6.9159794, 0.69159794, 6.9159793e-4, 207479.39, 2074.794, 207.47939, 0.20747939, 2.1360449e-5, 4.6217367e-3, 0.205947, 205.94699
1481, 620.9492, 6.209492, 0.6209492, 6.209492e-4, 186284.77, 1862.8477, 186.28476, 0.18628477, 3.6424717e-5, 6.0352893e-3, 0.18476, 184.76001
1471, 612.8851, 6.1288505, 0.61288506, 6.1288505e-4, 183865.52, 1838.6552, 183.86552, 0.18386552, 1.7542528e-5, 4.18838e-3, 0.183216, 183.216
1461, 596.18866, 5.9618864, 0.59618866, 5.9618865e-4, 178856.6, 1788.5659, 178.8566, 0.1788566, 1.6070582e-5, 4.0088133e-3, 0.178819, 178.819
1451, 658.7649, 6.5876493, 0.6587649, 6.587649e-4, 197629.48, 1976.2948, 197.62949, 0.19762948, 2.018796e-5, 4.4931015e-3, 0.198222, 198.222
1441, 613.6228, 6.1362276, 0.6136228, 6.136228e-4, 184086.83, 1840.8683, 184.08682, 0.18408683, 2.4510102e-5, 4.950768e-3, 0.183615, 183.615
1431, 554.2135, 5.542135, 0.55421346, 5.542135e-4, 166264.05, 1662.6404, 166.26404, 0.16626404, 2.781761e-5, 5.2742404e-3, 0.165754, 165.754
1421, 614.72485, 6.1472487, 0.6147249, 6.147249e-4, 184417.45, 1844.1746, 184.41745, 0.18441746, 1.678834e-5, 4.097358e-3, 0.183656, 183.656
1411, 590.84894, 5.908489, 0.5908489, 5.908489e-4, 177254.67, 1772.5468, 177.25467, 0.17725468, 5.638705e-5, 7.509131e-3, 0.175574, 175.574
1401, 589.4001, 5.8940005, 0.58940005, 5.8940006e-4, 176820.03, 1768.2002, 176.82002, 0.17682002, 1.1604041e-5, 3.4064704e-3, 0.17577, 175.77
1391, 576.6275, 5.766275, 0.5766275, 5.766275e-4, 172988.25, 1729.8826, 172.98825, 0.17298825, 1.2975125e-5, 3.6021e-3, 0.172312, 172.31201
1381, 536.9456, 5.369456, 0.5369456, 5.369456e-4, 161083.67, 1610.8367, 161.08366, 0.16108367, 8.7156985e-4, 2.9522361e-2, 0.155734, 155.73401
1371, 636.25415, 6.3625417, 0.63625413, 6.3625415e-4, 190876.25, 1908.7625, 190.87625, 0.19087625, 2.112871e-5, 4.5965975e-3, 0.189975, 189.97499
1361, 554.1323, 5.541323, 0.55413234, 5.5413233e-4, 166239.69, 1662.397, 166.2397, 0.1662397, 1.8330666e-5, 4.281433e-3, 0.165082, 165.08199
1351, 626.209, 6.2620897, 0.62620896, 6.2620896e-4, 187862.69, 1878.627, 187.8627, 0.1878627, 1.05815096e-4, 1.0286647e-2, 0.184535, 184.535
1341, 526.97974, 5.2697973, 0.52697974, 5.2697974e-4, 158093.92, 1580.9391, 158.09392, 0.15809391, 1.8548168e-5, 4.3067583e-3, 0.157303, 157.30301
1331, 561.88324, 5.6188326, 0.5618833, 5.6188327e-4, 168564.97, 1685.6498, 168.56497, 0.16856498, 1.4717612e-5, 3.836354e-3, 0.167649, 167.649
1321, 598.6267, 5.9862676, 0.59862673, 5.9862674e-4, 179588.02, 1795.8802, 179.58801, 0.17958802, 1.5678928e-5, 3.9596627e-3, 0.178498, 178.498
1311, 620.8268, 6.2082677, 0.6208268, 6.208268e-4, 186248.03, 1862.4803, 186.24803, 0.18624803, 1.3632515e-5, 3.6922237e-3, 0.186606, 186.606
1301, 581.6836, 5.816836, 0.5816836, 5.816836e-4, 174505.06, 1745.0507, 174.50507, 0.17450507, 1.699537e-5, 4.122544e-3, 0.174264, 174.26399
1291, 546.1482, 5.4614816, 0.5461482, 5.4614816e-4, 163844.45, 1638.4445, 163.84445, 0.16384445, 1.5550575e-5, 3.943422e-3, 0.163603, 163.603
1281, 547.7635, 5.477635, 0.54776347, 5.477635e-4, 164329.05, 1643.2905, 164.32906, 0.16432905, 1.280138e-5, 3.5779015e-3, 0.163761, 163.761
1271, 572.13196, 5.7213197, 0.57213193, 5.7213195e-4, 171639.6, 1716.3959, 171.63959, 0.17163959, 1.8340588e-5, 4.2825914e-3, 0.170986, 170.986
1261, 493.4786, 4.9347863, 0.49347863, 4.934786e-4, 148043.6, 1480.4359, 148.0436, 0.14804359, 7.05447e-6, 2.6560253e-3, 0.147933, 147.93301
1251, 539.15125, 5.3915124, 0.53915125, 5.3915125e-4, 161745.38, 1617.4537, 161.74538, 0.16174537, 1.2902322e-5, 3.5919803e-3, 0.161578, 161.578
1241, 477.3996, 4.773996, 0.4773996, 4.773996e-4, 143219.88, 1432.1987, 143.21988, 0.14321987, 2.0375592e-5, 4.513933e-3, 0.142443, 142.44301
