n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
371,525.6328,494.31378,4.9431376,0.49431378,4.943138E-04,494313.75,4943.1377,494.31375,0.49431375,6.6810375E-04,2.5847703E-02,0.491972,491.972,0.49197203,491.97202
361,511.4648,469.55447,4.6955447,0.46955448,4.6955448E-04,469554.47,4695.545,469.55447,0.46955448,8.535191E-05,9.23861E-03,0.468748,468.74802,0.468748,468.74802
351,497.2968,456.9569,4.569569,0.45695692,4.569569E-04,456956.94,4569.5693,456.9569,0.45695692,9.7870165E-05,9.892935E-03,0.455196,455.19598,0.455196,455.19598
341,483.1288,457.36032,4.573603,0.45736033,4.5736032E-04,457360.3,4573.6035,457.36032,0.45736033,6.2328303E-04,2.4965636E-02,0.450993,450.993,0.450993,450.993
331,468.9608,432.86636,4.328664,0.43286636,4.3286636E-04,432866.38,4328.6636,432.86636,0.43286636,7.123497E-05,8.440081E-03,0.433591,433.591,0.433591,433.59103
321,454.7928,426.63583,4.2663584,0.42663583,4.2663584E-04,426635.84,4266.3584,426.63583,0.42663583,1.0378759E-04,1.0187619E-02,0.428379,428.379,0.428379,428.379
311,440.6248,412.36084,4.1236086,0.41236085,4.1236085E-04,412360.84,4123.6084,412.36084,0.41236085,1.13944196E-04,1.06744645E-02,0.41106,411.06,0.41106,411.06
301,426.4568,401.44638,4.014464,0.4014464,4.014464E-04,401446.4,4014.464,401.4464,0.4014464,1.276159E-04,1.1296721E-02,0.40228,402.28,0.40228,402.28
291,412.2888,386.16678,3.8616679,0.38616678,3.861668E-04,386166.78,3861.6677,386.16678,0.38616678,6.397398E-05,7.998373E-03,0.38672,386.72,0.38672,386.72
281,398.1208,375.39236,3.7539234,0.37539235,3.7539235E-04,375392.34,3753.9236,375.39233,0.37539235,8.249744E-05,9.08281E-03,0.375116,375.116,0.375116,375.11597
271,383.9528,365.0479,3.650479,0.36504793,3.6504792E-04,365047.94,3650.4792,365.04794,0.36504793,1.1181672E-04,1.0574343E-02,0.361285,361.285,0.361285,361.285
261,369.7848,351.3083,3.513083,0.3513083,3.513083E-04,351308.28,3513.0828,351.3083,0.3513083,6.9441434E-05,8.333153E-03,0.350362,350.362,0.350362,350.362
251,355.6168,340.83548,3.4083548,0.34083548,3.4083548E-04,340835.47,3408.3547,340.83548,0.34083548,4.969041E-05,7.0491424E-03,0.338742,338.74197,0.338742,338.74197
241,341.4488,325.14294,3.2514296,0.32514295,3.2514296E-04,325142.94,3251.4294,325.14294,0.32514295,4.8153943E-05,6.939304E-03,0.32451,324.51,0.32451,324.51
231,327.2808,308.16068,3.0816066,0.30816066,3.0816067E-04,308160.66,3081.6067,308.16068,0.30816066,5.4948006E-05,7.412692E-03,0.308071,308.07098,0.308071,308.071
221,313.1128,292.8634,2.9286342,0.2928634,2.928634E-04,292863.4,2928.634,292.8634,0.2928634,5.5905108E-05,7.476972E-03,0.293328,293.32797,0.293328,293.328
