n,m, mean, variance, stdDev
1621,0.0240841298118182,0.9055875,2.3088837E-04,1.5195011E-02
1631,0.0242327055663636,0.9341561,1.549135E-04,1.2446425E-02
1641,0.0243812813209091,0.93449956,2.1131145E-04,1.4536556E-02
1651,0.0245298570754545,0.9622444,2.7263787E-04,1.651175E-02
1661,0.02467843283,0.9640935,2.1341714E-04,1.4608803E-02
1671,0.0248270085845455,0.9746863,1.4904235E-04,1.220829E-02
1681,0.0249755843390909,0.9670016,2.941109E-04,1.7149663E-02
1691,0.0251241600936364,0.97159463,2.2166106E-04,1.4888286E-02
1701,0.0252727358481818,1.0013134,2.2219827E-04,1.4906316E-02
1711,0.0254213116027273,0.9792837,1.8642675E-04,1.36538185E-02
1721,0.0255698873572727,1.0117993,2.4096247E-04,1.5522966E-02
1731,0.0257184631118182,1.0241313,2.0390569E-04,1.4279555E-02
1741,0.0258670388663636,1.0370564,1.9249682E-04,1.3874322E-02
1751,0.0260156146209091,1.0499593,3.2362618E-04,1.7989613E-02
1761,0.0261641903754545,1.062213,2.1180681E-04,1.4553584E-02
1771,0.02631276613,1.0691456,1.6597431E-04,1.2883102E-02
1781,0.0264613418845455,1.0694836,2.0297195E-04,1.4246822E-02
1791,0.0266099176390909,1.0756785,2.0483296E-04,1.4311987E-02
1801,0.0267584933936364,1.1377232,1.6419409E-04,1.2813824E-02
1811,0.0269070691481818,1.1625512,2.3530918E-04,1.5339791E-02
1821,0.0270556449027273,1.1157745,2.5023345E-04,1.581877E-02
1831,0.0272042206572727,1.1341177,1.9710354E-04,1.4039357E-02
1841,0.0273527964118182,1.1555485,3.789626E-04,1.9466963E-02
1851,0.0275013721663636,1.1854626,1.626154E-04,1.2752074E-02
1861,0.0276499479209091,1.1861904,1.935242E-04,1.3911298E-02
1871,0.0277985236754545,1.1876918,1.970141E-04,1.4036171E-02
1881,0.02794709943,1.1820996,2.7538784E-04,1.6594814E-02
1891,0.0280956751845455,1.2424152,5.6900457E-04,2.3853816E-02
1901,0.0282442509390909,1.2298111,1.8730815E-04,1.3686057E-02
1911,0.0283928266936364,1.2189459,7.8786275E-04,2.8068893E-02
1921,0.0285414024481818,1.3016456,3.4613814E-04,1.8604789E-02
1931,0.0286899782027273,1.2965099,4.980705E-04,2.2317493E-02
1941,0.0288385539572727,1.2842336,4.5517416E-04,2.133481E-02
1951,0.0289871297118182,1.320789,1.04504674E-04,1.0222753E-02
1961,0.0291357054663636,1.2958018,1.754472E-04,1.3245649E-02
1971,0.0292842812209091,1.3257897,1.8234858E-04,1.350365E-02
1981,0.0294328569754545,1.3743443,6.344524E-04,2.5188338E-02
1991,0.02958143273,1.4131957,1.0340402E-03,3.2156497E-02
2001,0.0297300084845455,1.4242915,5.4374867E-04,2.331842E-02
2011,0.0298785842390909,1.4126934,3.2127874E-03,5.6681454E-02
2021,0.0300271599936364,1.4623947,3.8523923E-03,6.2067643E-02
2031,0.0301757357481818,1.4407808,3.749463E-03,6.1232857E-02
2041,0.0303243115027273,1.4393082,2.0776107E-03,4.5580816E-02
2051,0.0304728872572727,1.4768516,1.5285718E-03,3.9096955E-02
2061,0.0306214630118182,1.4860843,2.44026E-04,1.56213315E-02
2071,0.0307700387663636,1.5155262,2.2741746E-04,1.5080367E-02
2081,0.0309186145209091,1.4809978,1.8676653E-04,1.3666255E-02
2091,0.0310671902754545,1.5036438,1.620614E-04,1.2730334E-02
2101,0.03121576603,1.5493127,5.501951E-03,7.4175134E-02
2111,0.0313643417845455,1.5367082,2.5075587E-04,1.5835272E-02
2121,0.0315129175390909,1.5903155,2.2978951E-04,1.515881E-02
2131,0.0316614932936364,1.5794905,2.590739E-04,1.6095772E-02
