n, mean, variance, stdDev
1191,0.24281642,3.1146013E-05,5.5808616E-03
1201,0.25401956,3.3670807E-05,5.802655E-03
1211,0.24466571,1.6102458E-05,4.012787E-03
1221,0.26908714,3.302863E-05,5.7470542E-03
1231,0.2673877,1.8364426E-05,4.2853737E-03
1241,0.26092348,2.2043785E-05,4.695081E-03
1251,0.25881657,4.0121122E-05,6.3341237E-03
1261,0.26962006,4.403186E-05,6.635651E-03
1271,0.28114626,3.8400773E-05,6.1968355E-03
1281,0.26597014,3.0049383E-05,5.4817316E-03
1291,0.28576744,2.4887837E-05,4.988771E-03
1301,0.2876062,2.5999716E-05,5.0989916E-03
1311,0.28946656,1.927527E-05,4.3903613E-03
1321,0.29106304,3.8962757E-05,6.2420154E-03
1331,0.3028285,3.5122768E-05,5.9264465E-03
1341,0.3079027,3.287259E-05,5.7334625E-03
1351,0.31976137,2.1336517E-05,4.6191467E-03
1361,0.3051354,2.7679653E-05,5.2611455E-03
1371,0.31710806,3.060925E-05,5.5325627E-03
1381,0.3235068,2.9769186E-05,5.4561147E-03
1391,0.31938684,2.6760774E-05,5.1730815E-03
1401,0.33675417,2.4310519E-05,4.93057E-03
1411,0.35301194,3.027247E-05,5.5020424E-03
1421,0.33516207,3.270794E-05,5.7190857E-03
1431,0.35886157,4.236222E-05,6.5086265E-03
1441,0.36343008,6.024489E-05,7.7617583E-03
1451,0.37865478,1.7387945E-04,1.3186336E-02
1461,0.38844547,1.7291868E-04,1.3149855E-02
1471,0.38863662,1.6853884E-04,1.2982251E-02
1481,0.3931826,4.1047437E-04,2.0260166E-02
1491,0.3820425,2.8454838E-04,1.6868562E-02
1501,0.4267499,1.0422791E-03,3.2284345E-02
1511,0.39578697,1.7271089E-04,1.31419515E-02
1521,0.42419732,2.736694E-04,1.6542956E-02
1531,0.41110122,3.386149E-04,1.8401492E-02
1541,0.42675236,1.3616502E-04,1.1668977E-02
1551,0.40387404,1.755634E-04,1.3250034E-02
1561,0.43490174,2.3660436E-04,1.5381949E-02
1571,0.43796238,2.0552144E-04,1.4336019E-02
1581,0.44808617,3.212482E-04,1.7923398E-02
1591,0.44955197,2.9968802E-04,1.73115E-02
1601,0.46405563,3.087275E-04,1.7570643E-02
1611,0.45274553,1.8264937E-04,1.3514783E-02
1621,0.465532,2.1437486E-04,1.4641546E-02
1631,0.45212469,2.250483E-04,1.500161E-02
1641,0.49475205,1.5078514E-04,1.227946E-02
1651,0.48281655,1.8775412E-04,1.370234E-02
1661,0.47853047,2.0425851E-04,1.4291904E-02
1671,0.4717513,1.4473559E-04,1.2030611E-02
1681,0.48592982,1.6891696E-04,1.2996806E-02
1691,0.48773244,1.3835458E-04,1.17624225E-02
1701,0.49176463,1.8706762E-04,1.3677266E-02
1711,0.5066506,1.4735412E-04,1.2138951E-02
1721,0.5241887,1.4963726E-04,1.22326305E-02
1731,0.5429726,2.0025841E-04,1.4151269E-02
1741,0.5319753,1.4992192E-04,1.2244261E-02
1751,0.5433932,1.7851246E-04,1.3360855E-02
1761,0.5409118,1.9614032E-04,1.400501E-02
1771,0.5493732,2.2132929E-04,1.487714E-02
1781,0.5356708,1.6478499E-04,1.28368605E-02
1791,0.54238796,1.3100285E-04,1.1445647E-02
1801,0.56065685,1.4525633E-04,1.2052233E-02
1811,0.5762755,1.4770265E-04,1.2153298E-02
1821,0.57382053,1.4635295E-04,1.2097642E-02
1831,0.6040688,1.6076012E-04,1.2679121E-02
1841,0.58750176,1.5942015E-04,1.2626169E-02
1851,0.59440744,1.6865038E-04,1.2986546E-02
1861,0.61523837,2.7746614E-04,1.6657315E-02
1871,0.607083,2.2849841E-04,1.51161635E-02
1881,0.62616867,1.8727375E-04,1.36848E-02
1891,0.63520336,1.4238709E-04,1.1932606E-02
1901,0.64507574,1.1376038E-04,1.0665852E-02
1911,0.60527265,1.4027156E-04,1.1843629E-02
1921,0.6551788,1.3824474E-04,1.1757752E-02
1931,0.65713376,2.002774E-04,1.415194E-02
1941,0.6441851,1.3859828E-04,1.1772777E-02
1951,0.668675,1.2017757E-04,1.0962553E-02
1961,0.6703068,1.6285392E-04,1.2761423E-02
1971,0.68824464,1.4687223E-04,1.21190855E-02
1981,0.70137876,1.6477927E-04,1.2836638E-02
1991,0.7175834,1.2352373E-04,1.1114123E-02
2001,0.7302254,1.6737539E-04,1.2937364E-02
2011,0.7142073,5.9791934E-04,2.4452388E-02
2021,0.7050502,2.1697803E-04,1.4730174E-02
2031,0.7305909,3.147807E-04,1.774206E-02
2041,0.7140429,2.5257497E-04,1.5892608E-02
2051,0.74973285,1.3355543E-04,1.1556618E-02
2061,0.77012366,1.8325952E-04,1.3537338E-02
2071,0.75843453,2.8338926E-04,1.683417E-02
2081,0.7507738,2.3952528E-04,1.5476604E-02
2091,0.77327496,9.774057E-04,3.126349E-02
2101,0.78660804,2.838945E-04,1.684917E-02
2111,0.77510345,2.9831883E-04,1.7271908E-02
2121,0.79813224,2.1343636E-04,1.4609462E-02
2131,0.79346055,5.350616E-04,2.3131398E-02
2141,0.80826896,2.507389E-04,1.5834738E-02
2151,0.82490957,2.7546074E-04,1.659701E-02
2161,0.8248056,2.7359565E-04,1.6540727E-02
2171,0.8289133,4.769069E-04,2.1838197E-02
2181,0.8519752,2.4391245E-04,1.5617697E-02
2191,0.85131824,3.489685E-04,1.86807E-02
2201,0.86474025,5.1221426E-04,2.2632152E-02
2211,0.8714079,1.1260662E-03,3.355691E-02
2221,0.8751698,3.547366E-04,1.8834453E-02
2231,0.86429113,4.7733623E-04,2.1848027E-02
2241,0.8717142,2.6926782E-04,1.6409382E-02
2251,0.9061224,5.601716E-04,2.3667945E-02
2261,0.8931641,2.5240943E-04,1.5887398E-02
2271,0.921548,4.820861E-04,2.1956459E-02
2281,0.9533955,3.6232985E-04,1.9034963E-02
2291,0.9349846,4.907115E-04,2.2152008E-02
2301,0.94166654,5.3993496E-04,2.32365E-02
2311,0.9355257,3.3469786E-04,1.829475E-02
2321,0.944476,7.176522E-04,2.6789032E-02
2331,0.96577317,3.5588667E-04,1.886496E-02
2341,0.9858407,5.3772074E-04,2.3188807E-02
2351,0.9783266,6.091602E-04,2.4681171E-02
2361,0.9957622,4.3512427E-04,2.0859633E-02
2371,1.0105654,4.507993E-04,2.1232035E-02
2381,0.9894196,5.901533E-04,2.429307E-02
2391,0.99501663,5.1154825E-04,2.2617433E-02
2401,1.0304524,5.6302507E-04,2.3728149E-02
2411,1.0239869,5.451991E-04,2.33495E-02
2421,1.0095034,1.5938987E-03,3.992366E-02
2431,1.0421498,4.579735E-04,2.1400316E-02
2441,1.075953,4.8060782E-04,2.1922769E-02
2451,1.0576302,1.2349342E-03,3.5141632E-02
2461,1.06763,4.334199E-04,2.0818738E-02
2471,1.1083608,5.31324E-04,2.3050467E-02
2481,1.066231,5.390691E-04,2.3217862E-02
2491,1.1222805,4.462521E-04,2.112468E-02
2501,1.11318,4.5004717E-04,2.1214316E-02
2511,1.094866,6.293823E-04,2.5087493E-02
2521,1.1414447,6.5338373E-04,2.5561372E-02
2531,1.126663,5.296457E-04,2.3014033E-02
2541,1.1672935,4.0342487E-04,2.008544E-02
2551,1.1561931,4.6599482E-04,2.1586914E-02
2561,1.1656901,4.775099E-04,2.1852E-02
2571,1.1723824,9.6644886E-04,3.108776E-02
2581,1.1650587,4.5436627E-04,2.1315869E-02
2591,1.2007302,6.555054E-04,2.560284E-02
2601,1.1906638,1.3125909E-03,3.6229696E-02
2611,1.1945802,5.445326E-04,2.3335222E-02
2621,1.2106957,4.7191183E-04,2.1723531E-02
2631,1.2566711,4.7218997E-04,2.1729933E-02
2641,1.2327993,5.368841E-04,2.317076E-02
2651,1.2212281,6.3028757E-04,2.5105529E-02
2661,1.247334,4.1648292E-04,2.0407913E-02
2671,1.2834144,4.842516E-04,2.2005716E-02
2681,1.315819,2.1537652E-03,4.6408676E-02
2691,1.2900606,5.5494555E-04,2.3557283E-02
2701,1.2943738,5.076208E-04,2.2530442E-02
2711,1.2643865,6.3695066E-04,2.523788E-02
2721,1.3212212,1.0365009E-03,3.2194734E-02
2731,1.3273782,5.8233686E-04,2.4131658E-02
2741,1.3415314,6.285974E-04,2.5071844E-02
2751,1.3476717,4.888984E-03,6.992127E-02
2761,1.3327699,9.3903125E-04,3.0643616E-02
2771,1.3920261,5.516691E-04,2.3487637E-02
2781,1.3517243,4.262797E-04,2.0646542E-02
2791,1.397741,1.0527594E-03,3.2446254E-02
2801,1.3700651,4.531779E-04,2.1287976E-02
2811,1.3737855,4.5956046E-04,2.1437362E-02
2821,1.3809791,7.0931355E-04,2.663294E-02
2831,1.3801956,6.645908E-04,2.5779659E-02
2841,1.4167978,4.6364E-04,2.15323E-02
2851,1.4098475,5.7423883E-04,2.396328E-02
2861,1.4480605,5.429438E-04,2.3301154E-02
2871,1.4374825,5.339623E-04,2.3107624E-02
2881,1.4968727,3.911254E-04,1.977689E-02
2891,1.4814503,1.0958053E-03,3.3102952E-02
2901,1.4555691,7.1155245E-04,2.6674941E-02
2911,1.5121846,4.6955148E-04,2.1669136E-02
2921,1.5358213,3.3717472E-04,1.8362317E-02
2931,1.4871455,4.503716E-04,2.122196E-02
2941,1.555808,4.8613892E-04,2.2048559E-02
2951,1.5498916,1.0345816E-03,3.2164913E-02
2961,1.5586456,9.602567E-04,3.0988008E-02
2971,1.5636622,5.881011E-04,2.4250796E-02
2981,1.6119336,4.98252E-04,2.232156E-02
2991,1.5564286,4.7830533E-04,2.1870192E-02
3001,1.5582727,5.194607E-04,2.279168E-02
3011,1.5706764,4.48055E-04,2.116731E-02
