n, mean, variance, stdDev
2311,0.19888969,5.8391364E-05,7.6414244E-03
2321,0.17811902,5.613937E-05,7.492621E-03
2331,0.17078449,7.392349E-05,8.597877E-03
2341,0.19555232,7.13041E-05,8.444175E-03
2351,0.18950847,8.350403E-05,9.138054E-03
2361,0.20007092,5.612426E-05,7.491613E-03
2371,0.20389533,9.125658E-05,9.552831E-03
2381,0.19569089,6.6684304E-05,8.166046E-03
2391,0.1998318,8.3576626E-05,9.142025E-03
2401,0.19654138,3.0984025E-05,5.5663297E-03
2411,0.19061385,3.170083E-05,5.6303493E-03
2421,0.19654216,3.8942715E-05,6.24041E-03
2431,0.20348981,6.9211346E-05,8.319336E-03
2441,0.22283784,4.102845E-05,6.405345E-03
2451,0.20015305,3.2835946E-05,5.7302658E-03
2461,0.20202036,1.1559659E-05,3.3999498E-03
2471,0.21346426,2.305184E-05,4.8012333E-03
2481,0.20718114,5.4983124E-05,7.4150604E-03
2491,0.21074763,1.2569454E-04,1.1211358E-02
2501,0.2143728,8.6372296E-05,9.29367E-03
2511,0.20143224,1.0668557E-05,3.2662756E-03
2521,0.21243484,5.0940893E-05,7.137289E-03
2531,0.21864562,2.0987505E-05,4.581212E-03
2541,0.22659665,1.5333575E-05,3.915811E-03
2551,0.20874074,1.0011622E-05,3.1641147E-03
2561,0.21433048,1.805552E-05,4.249179E-03
2571,0.2289428,1.7716395E-05,4.209085E-03
2581,0.22639251,2.3118568E-05,4.8081772E-03
2591,0.21646073,1.9784506E-05,4.4479775E-03
2601,0.22373407,2.0165804E-05,4.4906354E-03
2611,0.23200244,2.3592425E-05,4.8572035E-03
2621,0.229067,2.744627E-05,5.238919E-03
2631,0.2354665,2.3822195E-05,4.8807985E-03
2641,0.24307135,2.1406457E-04,1.4630945E-02
2651,0.24062319,2.2514852E-05,4.744982E-03
2661,0.23680091,4.4576627E-05,6.676573E-03
2671,0.2396701,2.3906054E-05,4.8893816E-03
2681,0.2510031,2.502102E-05,5.0021014E-03
2691,0.25108847,1.9422565E-05,4.407104E-03
2701,0.24735008,2.649646E-05,5.147471E-03
2711,0.2382805,2.7980856E-05,5.2896934E-03
2721,0.24944267,1.836839E-05,4.285836E-03
2731,0.27081233,1.7762126E-05,4.2145136E-03
2741,0.26235408,2.9836601E-05,5.462289E-03
2751,0.24338695,1.981566E-05,4.4514784E-03
2761,0.2381608,1.6351281E-05,4.043672E-03
2771,0.26214495,2.08724E-05,4.568632E-03
2781,0.2705117,3.575878E-05,5.979865E-03
2791,0.25201324,3.03311E-05,5.5073677E-03
2801,0.2677056,2.855339E-05,5.3435373E-03
2811,0.2612875,4.434807E-05,6.6594346E-03
2821,0.2686712,2.2087968E-05,4.699784E-03
2831,0.28110343,2.64758E-05,5.145464E-03
2841,0.26804546,3.1523676E-05,5.614595E-03
2851,0.27636954,4.1669584E-05,6.4551984E-03
2861,0.2854137,3.7837483E-05,6.151218E-03
2871,0.2719517,2.1425962E-05,4.6288185E-03
2881,0.2847925,3.6803594E-05,6.0665966E-03
2891,0.2773425,2.7430384E-05,5.2374024E-03
2901,0.29541627,2.8655108E-05,5.3530466E-03
2911,0.29167813,3.727442E-05,6.105278E-03
2921,0.30269507,3.6644327E-05,6.0534556E-03
2931,0.28158507,4.16448E-05,6.453278E-03
2941,0.28888884,3.2857104E-05,5.7321116E-03
2951,0.29754817,2.7692E-05,5.262319E-03
2961,0.2932863,4.6159566E-05,6.7940834E-03
2971,0.2991101,5.9830836E-05,7.7350396E-03
2981,0.30492306,3.645122E-05,6.0374844E-03
2991,0.2981785,1.1239454E-04,1.06016295E-02
3001,0.32135236,2.1904112E-05,4.680183E-03
3011,0.30824202,2.4508936E-05,4.95065E-03
