n, each, mean, variance, stdDev, median,median1e6
2761,5.692466E-03,5.692466E-03,1.1778652E-07,3.432004E-04,5.663E-03,5663.0
2771,6.7427675E-03,6.7427675E-03,9.078606E-08,3.0130724E-04,6.701E-03,6701.0
2781,7.363001E-03,7.363001E-03,5.4123843E-06,2.326453E-03,6.873E-03,6873.0
2791,7.2618998E-03,7.2618998E-03,5.1843726E-06,2.2769216E-03,6.804E-03,6804.0
2801,5.7557E-03,5.7557E-03,5.666916E-06,2.3805285E-03,5.271E-03,5271.0
2811,5.935834E-03,5.935834E-03,8.660916E-08,2.9429435E-04,5.9E-03,5900.0
2821,5.3357678E-03,5.3357678E-03,1.2746371E-07,3.570206E-04,5.259E-03,5259.0
2831,6.4313994E-03,6.4313994E-03,3.3756535E-06,1.8372951E-03,6.024E-03,6024.0
2841,6.6830995E-03,6.6830995E-03,1.6778527E-07,4.09616E-04,6.7E-03,6700.0
2851,5.689634E-03,5.689634E-03,1.2111443E-07,3.48015E-04,5.644E-03,5644.0
2861,7.1387663E-03,7.1387663E-03,5.1242405E-06,2.2636785E-03,6.715E-03,6715.0
2871,7.307467E-03,7.307467E-03,4.4102485E-06,2.100059E-03,6.921E-03,6921.0
2881,6.926168E-03,6.926168E-03,2.52338E-07,5.023326E-04,6.801E-03,6801.0
2891,7.7539003E-03,7.7539003E-03,4.4165195E-06,2.1015517E-03,7.397E-03,7397.0
2901,7.6703997E-03,7.6703997E-03,8.055274E-06,2.8381813E-03,6.974E-03,6974.0
2911,7.8708E-03,7.8708E-03,4.467995E-06,2.1137632E-03,7.485E-03,7485.0
2921,6.6105E-03,6.6105E-03,4.885114E-06,2.2102294E-03,6.135E-03,6135.0
2931,5.9052003E-03,5.9052003E-03,1.363432E-07,3.6924682E-04,5.79E-03,5790.0
2941,7.351767E-03,7.351767E-03,4.86026E-06,2.2045998E-03,6.936E-03,6936.0
2951,6.8975664E-03,6.8975664E-03,4.911436E-06,2.216176E-03,6.473E-03,6473.0
2961,6.7622345E-03,6.7622345E-03,5.2160217E-06,2.2838612E-03,6.24E-03,6240.0
2971,5.7460666E-03,5.7460666E-03,6.9562466E-06,2.6374697E-03,5.261E-03,5261.0
2981,6.096034E-03,6.096034E-03,6.877503E-08,2.6224993E-04,6.055E-03,6055.0
2991,7.057234E-03,7.057234E-03,4.7187486E-06,2.172268E-03,6.656E-03,6656.0
3001,8.839667E-03,8.839667E-03,5.3005597E-06,2.3022944E-03,8.364E-03,8364.0
3011,9.939133E-03,9.939133E-03,1.0736521E-05,3.2766631E-03,9.063E-03,9063.0
