n,m,each1e6,meanX1000, each, mean, variance, stdDev
1241,256.20915013289,3.089106E+02,308.91058000,3.089106E-04,0.30891058,3.5298475E-05,5.941252E-03
1251,258.273688006644,3.3278597E+02,332.78596000,3.3278597E-04,0.33278596,4.231939E-05,6.505335E-03
1261,260.338225880398,3.2399115E+02,323.99115000,3.2399115E-04,0.32399115,1.9775945E-05,4.4470155E-03
1271,262.402763754152,3.45522E+02,345.52202000,3.45522E-04,0.34552202,2.6637068E-05,5.1611112E-03
1281,264.467301627907,3.230671E+02,323.0671000,3.230671E-04,0.3230671,6.017399E-05,7.7571897E-03
1291,266.531839501661,3.4001315E+02,340.01315000,3.4001315E-04,0.34001315,2.0853138E-05,4.5665237E-03
1301,268.596377375415,3.5404446E+02,354.04447000,3.5404446E-04,0.35404447,3.2003507E-05,5.6571644E-03
1311,270.660915249169,3.4811336E+02,348.11336000,3.4811336E-04,0.34811336,4.456471E-05,6.6756806E-03
1321,272.725453122923,3.3302116E+02,333.02116000,3.3302116E-04,0.33302116,2.7775932E-05,5.270288E-03
1331,274.789990996677,3.532111E+02,353.2111000,3.532111E-04,0.3532111,1.8361667E-05,4.2850515E-03
1341,276.854528870432,3.5801646E+02,358.01646000,3.5801646E-04,0.35801646,7.752419E-04,2.7843166E-02
1351,278.919066744186,3.6797323E+02,367.97324000,3.6797323E-04,0.36797324,2.7361853E-05,5.230856E-03
1361,280.98360461794,3.6517408E+02,365.17408000,3.6517408E-04,0.36517408,3.8254533E-05,6.185025E-03
1371,283.048142491694,3.6441325E+02,364.41326000,3.6441325E-04,0.36441326,4.5429882E-05,6.740169E-03
1381,285.112680365448,3.4928272E+02,349.2827000,3.4928272E-04,0.3492827,2.7240894E-05,5.219281E-03
1391,287.177218239202,3.6523867E+02,365.23867000,3.6523867E-04,0.36523867,3.0957286E-05,5.5639273E-03
1401,289.241756112956,3.6343114E+02,363.43116000,3.6343114E-04,0.36343116,2.657277E-05,5.1548784E-03
1411,291.306293986711,3.6492804E+02,364.92804000,3.6492804E-04,0.36492804,1.9146804E-05,4.375706E-03
1421,293.370831860465,3.796465E+02,379.64648000,3.796465E-04,0.37964648,5.01166E-05,7.079308E-03
1431,295.435369734219,3.6691074E+02,366.91073000,3.6691074E-04,0.36691073,4.6667315E-05,6.831348E-03
1441,297.499907607973,3.8698685E+02,386.98685000,3.8698685E-04,0.38698685,3.465413E-05,5.886776E-03
1451,299.564445481727,3.8426835E+02,384.26834000,3.8426835E-04,0.38426834,4.765733E-05,6.903429E-03
1461,301.628983355481,3.9292677E+02,392.92678000,3.9292677E-04,0.39292678,5.1736846E-05,7.192833E-03
1471,303.693521229235,3.7826123E+02,378.26124000,3.7826123E-04,0.37826124,2.6096508E-05,5.1084743E-03
1481,305.75805910299,3.904734E+02,390.4734000,3.904734E-04,0.3904734,4.053881E-05,6.3670096E-03
1491,307.822596976744,4.019932E+02,401.9932000,4.019932E-04,0.4019932,3.0625157E-05,5.534E-03
1501,309.887134850498,4.0022633E+02,400.22632000,4.0022633E-04,0.40022632,8.965826E-05,9.468804E-03
1511,311.951672724252,3.980898E+02,398.0898000,3.980898E-04,0.3980898,7.071946E-05,8.409486E-03
1521,314.016210598006,4.3832976E+02,438.32976000,4.3832976E-04,0.43832976,6.067559E-05,7.789454E-03
1531,316.08074847176,3.8543306E+02,385.43305000,3.8543306E-04,0.38543305,6.668887E-05,8.166325E-03
1541,318.145286345515,3.9408283E+02,394.08284000,3.9408283E-04,0.39408284,6.9806774E-05,8.355045E-03
1551,320.209824219269,4.011377E+02,401.13768000,4.011377E-04,0.40113768,8.356667E-05,9.141481E-03
1561,322.274362093023,4.454308E+02,445.43082000,4.454308E-04,0.44543082,9.63048E-05,9.813501E-03
1571,324.338899966777,4.299257E+02,429.9257000,4.299257E-04,0.4299257,8.840777E-05,9.4025405E-03
1581,326.403437840531,4.3508515E+02,435.08515000,4.3508515E-04,0.43508515,7.5628115E-05,8.6964425E-03
1591,328.467975714285,4.309519E+02,430.95192000,4.309519E-04,0.43095192,2.8693446E-04,1.6939139E-02
1601,330.532513588039,4.2361533E+02,423.61534000,4.2361533E-04,0.42361534,7.817018E-05,8.841391E-03
1611,332.597051461794,4.3892165E+02,438.92166000,4.3892165E-04,0.43892166,8.36911E-05,9.148284E-03
1621,334.661589335548,4.201012E+02,420.1012000,4.201012E-04,0.4201012,6.615767E-05,8.133736E-03
1631,336.726127209302,4.249108E+02,424.9108000,4.249108E-04,0.4249108,1.2113818E-04,1.1006279E-02
1641,338.790665083056,4.1936687E+02,419.36687000,4.1936687E-04,0.41936687,5.238419E-05,7.2376924E-03
1651,340.85520295681,4.273872E+02,427.38718000,4.273872E-04,0.42738718,1.2796157E-04,1.131201E-02
1661,342.919740830564,4.4634758E+02,446.34756000,4.4634758E-04,0.44634756,7.5705895E-05,8.700914E-03
1671,344.984278704318,4.6577185E+02,465.77185000,4.6577185E-04,0.46577185,6.435599E-05,8.022219E-03
1681,347.048816578073,4.497973E+02,449.7973000,4.497973E-04,0.4497973,1.176993E-04,1.0848931E-02
1691,349.113354451827,4.6880785E+02,468.80785000,4.6880785E-04,0.46880785,1.181087E-04,1.0867783E-02
1701,351.177892325581,4.659016E+02,465.90158000,4.659016E-04,0.46590158,4.860886E-04,2.2047417E-02
1711,353.242430199335,4.691459E+02,469.1459000,4.691459E-04,0.4691459,6.2932166E-05,7.93298E-03
1721,355.306968073089,4.6417708E+02,464.17707000,4.6417708E-04,0.46417707,9.692397E-05,9.844997E-03
1731,357.371505946843,4.717659E+02,471.7659000,4.717659E-04,0.4717659,1.3179453E-04,1.148018E-02
1741,359.436043820598,4.9105816E+02,491.05814000,4.9105816E-04,0.49105814,7.989324E-05,8.938301E-03
1751,361.500581694352,4.558883E+02,455.8883000,4.558883E-04,0.4558883,9.856033E-05,9.927755E-03
1761,363.565119568106,4.8181132E+02,481.8113000,4.8181132E-04,0.4818113,1.4776363E-04,1.2155807E-02
1771,365.62965744186,4.865051E+02,486.5051000,4.865051E-04,0.4865051,8.258256E-05,9.087495E-03
1781,367.694195315614,5.032253E+02,503.2253000,5.032253E-04,0.5032253,1.820153E-04,1.3491305E-02
1791,369.758733189368,4.898443E+02,489.84432000,4.898443E-04,0.48984432,6.11833E-05,7.821975E-03
1801,371.823271063122,4.8727574E+02,487.27575000,4.8727574E-04,0.48727575,2.8073892E-04,1.6755266E-02
1811,373.887808936877,5.1718164E+02,517.18163000,5.1718164E-04,0.51718163,5.4448265E-05,7.378907E-03
1821,375.952346810631,4.961396E+02,496.13956000,4.961396E-04,0.49613956,5.4944663E-05,7.4124667E-03
1831,378.016884684385,5.1894697E+02,518.94695000,5.1894697E-04,0.51894695,7.348543E-05,8.572364E-03
1841,380.081422558139,4.9295335E+02,492.95333000,4.9295335E-04,0.49295333,8.176068E-05,9.0421615E-03
1851,382.145960431893,5.1519787E+02,515.1979000,5.1519787E-04,0.5151979,7.529279E-05,8.677142E-03
1861,384.210498305647,5.008634E+02,500.86343000,5.008634E-04,0.50086343,7.854888E-05,8.86278E-03
1871,386.275036179401,4.942012E+02,494.20118000,4.942012E-04,0.49420118,6.997585E-05,8.365157E-03
1881,388.339574053156,5.3635513E+02,536.35514000,5.3635513E-04,0.53635514,5.2635085E-05,7.2550043E-03
1891,390.40411192691,5.171756E+02,517.1756000,5.171756E-04,0.5171756,1.3904691E-04,1.1791815E-02
1901,392.468649800664,5.507217E+02,550.7217000,5.507217E-04,0.5507217,7.430241E-05,8.619884E-03
1911,394.533187674418,5.1652134E+02,516.52133000,5.1652134E-04,0.51652133,9.265576E-05,9.625786E-03
1921,396.597725548172,5.384386E+02,538.4386000,5.384386E-04,0.5384386,8.1127706E-05,9.007092E-03
1931,398.662263421926,5.046879E+02,504.6879000,5.046879E-04,0.5046879,1.3609433E-04,1.1665948E-02
