n,each1e6,each,mean, meanOriginal, variance, stdDev
2371,1278.417,0.00127842,639.20856000,0.63920856,6.390167E-04,2.5278779E-02
2381,1362.508,0.00136251,681.25397000,0.68125397,9.026336E-04,3.004386E-02
2391,1331.826,0.00133183,665.91287000,0.66591287,4.309498E-04,2.0759331E-02
2401,1360.110,0.0013601,680.0549000,0.6800549,5.064846E-04,2.2505213E-02
2411,1333.920,0.00133392,666.95976000,0.66695976,8.336026E-04,2.8872177E-02
2421,1328.070,0.0013281,664.0349000,0.6640349,5.240313E-04,2.289173E-02
2431,1337.816,0.001338,668.908000,0.668908,5.0716E-04,2.2520212E-02
2441,1341.917,0.00134192,670.95846000,0.67095846,6.4698147E-04,2.543583E-02
2451,1436.493,0.00143649,718.24634000,0.71824634,6.048779E-04,2.4594266E-02
2461,1370.873,0.0013709,685.4365000,0.6854365,4.7018583E-04,2.168377E-02
2471,1361.559,0.0013616,680.7793000,0.6807793,5.5345247E-04,2.352557E-02
2481,1361.163,0.00136116,680.58133000,0.68058133,5.6368666E-04,2.3742085E-02
2491,1354.519,0.00135452,677.25945000,0.67725945,5.0102104E-04,2.23835E-02
2501,1423.986,0.00142399,711.99304000,0.71199304,6.868061E-04,2.6206985E-02
2511,1417.305,0.00141730,708.65244000,0.70865244,5.861742E-04,2.4211034E-02
2521,1426.700,0.00143,713.35000,0.71335,1.0081667E-03,3.175164E-02
2531,1458.562,0.0014586,729.2811000,0.7292811,5.081646E-04,2.2542506E-02
2541,1449.541,0.00144954,724.77037000,0.72477037,8.454965E-04,2.9077422E-02
2551,1467.253,0.00146725,733.62654000,0.73362654,1.4454011E-03,3.801843E-02
2561,1418.602,0.0014186,709.3008000,0.7093008,6.956091E-04,2.6374402E-02
2571,1433.748,0.00143375,716.87406000,0.71687406,6.012597E-04,2.4520598E-02
2581,1429.769,0.00142977,714.88434000,0.71488434,6.2841113E-04,2.506813E-02
2591,1447.213,0.0014472,723.6063000,0.7236063,3.7695127E-04,1.9415233E-02
2601,1469.549,0.00146955,734.77465000,0.73477465,4.8625327E-04,2.2051152E-02
2611,1440.987,0.0014410,720.4934000,0.7204934,6.6437357E-04,2.5775446E-02
2621,1530.981,0.0015310,765.4907000,0.7654907,5.3327443E-04,2.3092736E-02
2631,1500.444,0.0015004,750.2221000,0.7502221,6.412452E-04,2.5322821E-02
2641,1477.474,0.00147747,738.73675000,0.73873675,4.1761633E-04,2.0435663E-02
2651,1546.193,0.00154619,773.09674000,0.77309674,5.439803E-04,2.3323385E-02
2661,1541.016,0.00154102,770.50817000,0.77050817,4.2077276E-04,2.0512747E-02
2671,1539.600,0.0015396,769.8002000,0.7698002,9.889455E-04,3.1447504E-02
2681,1503.876,0.0015039,751.9382000,0.7519382,5.7055335E-04,2.3886258E-02
2691,1563.716,0.001564,781.858000,0.781858,3.5217992E-04,1.8766457E-02
2701,1524.682,0.0015247,762.3408000,0.7623408,3.8110197E-04,1.9521832E-02
2711,1539.930,0.0015399,769.9648000,0.7699648,3.334586E-04,1.8260848E-02
2721,1559.854,0.00155985,779.92684000,0.77992684,4.9992406E-04,2.2358982E-02
2731,1513.675,0.00151368,756.83767000,0.75683767,5.3634396E-04,2.3159102E-02
2741,1571.061,0.0015711,785.5306000,0.7855306,6.380879E-04,2.5260402E-02
2751,1614.365,0.00161436,807.18225000,0.80718225,5.174327E-04,2.2747148E-02
2761,1589.697,0.0015897,794.8483000,0.7948483,4.2415602E-04,2.0595048E-02
2771,1600.215,0.0016002,800.1073000,0.8001073,8.2687073E-04,2.875536E-02
2781,1562.612,0.0015626,781.3061000,0.7813061,4.0641509E-04,2.015974E-02
2791,1558.971,0.00155897,779.48546000,0.77948546,4.3947628E-04,2.096369E-02
2801,1687.237,0.00168724,843.61845000,0.84361845,1.439728E-03,3.7943747E-02
2811,1619.941,0.0016199,809.9703000,0.8099703,4.889381E-04,2.2111945E-02
2821,1618.624,0.00161862,809.31216000,0.80931216,4.4419992E-04,2.1076052E-02
2831,1642.429,0.0016424,821.2143000,0.8212143,4.8140468E-04,2.1940935E-02
2841,1635.268,0.0016353,817.6338000,0.8176338,4.2176165E-04,2.0536836E-02
2851,1644.251,0.0016443,822.1257000,0.8221257,5.749017E-04,2.3977108E-02
2861,1636.051,0.00163605,818.02547000,0.81802547,5.486841E-04,2.3424007E-02
2871,1681.108,0.00168111,840.55406000,0.84055406,4.0991354E-04,2.0246321E-02
2881,1654.544,0.00165454,827.27206000,0.82727206,5.1416055E-04,2.2675108E-02
2891,1655.595,0.00165560,827.79765000,0.82779765,5.05671E-04,2.248713E-02
2901,1642.960,0.0016430,821.4801000,0.8214801,4.6813523E-04,2.1636432E-02
2911,1655.651,0.00165565,827.82555000,0.82782555,5.430531E-04,2.33035E-02
2921,1754.733,0.00175473,877.36636000,0.87736636,1.0098255E-03,3.177775E-02
2931,1710.192,0.00171019,855.09616000,0.85509616,4.0233223E-04,2.005822E-02
2941,1720.475,0.00172048,860.23766000,0.86023766,4.5389627E-04,2.1304842E-02
2951,1729.316,0.00172932,864.65776000,0.86465776,3.3172782E-04,1.8213397E-02
2961,1748.872,0.001749,874.436000,0.874436,4.0639503E-04,2.0159243E-02
2971,1684.766,0.0016848,842.3828000,0.8423828,5.001108E-04,2.2363158E-02
2981,1754.058,0.0017541,877.0288000,0.8770288,7.3171494E-04,2.705023E-02
2991,1708.180,0.00170818,854.09015000,0.85409015,5.722228E-04,2.3921179E-02
3001,1754.282,0.0017543,877.1411000,0.8771411,4.7827343E-04,2.1869464E-02
3011,1716.559,0.00171656,858.27965000,0.85827965,2.273569E-04,1.5078358E-02
