n,each1e6,meanX1000, each, mean, variance, stdDev
1161,3.1511698E+02,157.55849000,3.1511698E-04,0.15755849,1.6795171E-05,4.0981914E-03
1171,3.159853E+02,157.99265000,3.159853E-04,0.15799265,1.7751952E-05,4.2133066E-03
1181,3.3835918E+02,169.17959000,3.3835918E-04,0.16917959,1.0908953E-05,3.3028706E-03
1191,3.1918837E+02,159.5942000,3.1918837E-04,0.1595942,2.248851E-05,4.742205E-03
1201,3.2178927E+02,160.89463000,3.2178927E-04,0.16089463,7.404055E-06,2.7210393E-03
1211,3.339265E+02,166.96325000,3.339265E-04,0.16696325,2.1903194E-05,4.680085E-03
1221,3.4197036E+02,170.98518000,3.4197036E-04,0.17098518,1.1736105E-05,3.4258E-03
1231,3.4026464E+02,170.13232000,3.4026464E-04,0.17013232,1.8943787E-05,4.352446E-03
1241,3.1268506E+02,156.34254000,3.1268506E-04,0.15634254,1.904838E-05,4.364445E-03
1251,3.555805E+02,177.79025000,3.555805E-04,0.17779025,2.5834779E-05,5.0827926E-03
1261,3.224143E+02,161.20715000,3.224143E-04,0.16120715,8.29869E-06,2.8807446E-03
1271,3.5912942E+02,179.56471000,3.5912942E-04,0.17956471,2.6672114E-05,5.1645054E-03
1281,3.5928888E+02,179.64444000,3.5928888E-04,0.17964444,2.1176734E-04,1.4552228E-02
1291,3.5850826E+02,179.25413000,3.5850826E-04,0.17925413,2.3858396E-05,4.8845056E-03
1301,3.5236438E+02,176.1822000,3.5236438E-04,0.1761822,1.4851388E-05,3.85375E-03
1311,3.603628E+02,180.18141000,3.603628E-04,0.18018141,1.9029769E-05,4.362312E-03
1321,3.513035E+02,175.65174000,3.513035E-04,0.17565174,1.1540173E-05,3.397083E-03
1331,3.442371E+02,172.11856000,3.442371E-04,0.17211856,1.7769193E-05,4.2153522E-03
1341,3.4877422E+02,174.38711000,3.4877422E-04,0.17438711,1.23232985E-05,3.5104556E-03
1351,3.8420284E+02,192.10142000,3.8420284E-04,0.19210142,2.0318595E-05,4.507615E-03
