n,each1e6,each,mean, meanOriginal, variance, stdDev
1271,656.151,0.0006562,656.1506000,0.6561506,6.831585E-05,8.265341E-03
1281,662.962,0.00066296,662.96226000,0.66296226,7.174556E-05,8.470275E-03
1291,670.961,0.00067096,670.96126000,0.67096126,5.824241E-05,7.6316716E-03
1301,670.861,0.00067086,670.86136000,0.67086136,5.213999E-05,7.2208024E-03
1311,680.338,0.000680,680.338000,0.680338,1.12396076E-04,1.0601701E-02
1321,683.752,0.00068375,683.75176000,0.68375176,1.8382163E-04,1.3558083E-02
1331,675.766,0.0006758,675.7663000,0.6757663,5.6029934E-05,7.4853147E-03
1341,684.635,0.000685,684.635000,0.684635,8.181863E-05,9.045365E-03
1351,678.027,0.0006780,678.0269000,0.6780269,2.163161E-04,1.4707688E-02
1361,698.781,0.0006988,698.7807000,0.6987807,8.518854E-05,9.229764E-03
1371,677.228,0.00067723,677.22815000,0.67722815,6.130604E-05,7.829817E-03
1381,681.444,0.0006814,681.4436000,0.6814436,5.1562933E-05,7.1807336E-03
1391,692.728,0.0006927,692.7281000,0.6927281,6.6803004E-05,8.17331E-03
1401,707.548,0.0007075,707.5477000,0.7075477,5.4883883E-05,7.4083656E-03
1411,706.173,0.0007062,706.1733000,0.7061733,7.6080716E-05,8.722426E-03
1421,718.913,0.00071891,718.91296000,0.71891296,6.741535E-05,8.210685E-03
1431,727.974,0.000728,727.974000,0.727974,5.2797128E-05,7.2661634E-03
1441,726.902,0.00072690,726.90225000,0.72690225,5.234702E-04,2.2879472E-02
1451,731.596,0.00073160,731.59623000,0.73159623,8.623321E-05,9.286184E-03
1461,728.995,0.000729,728.995000,0.728995,7.071327E-05,8.409118E-03
1471,740.589,0.0007406,740.5892000,0.7405892,6.3137224E-05,7.945893E-03
1481,759.950,0.00076,759.95000,0.75995,4.936296E-04,2.2217777E-02
1491,753.750,0.0007537,753.7496000,0.7537496,8.961569E-05,9.466557E-03
1501,752.181,0.0007522,752.1807000,0.7521807,5.7455385E-05,7.579933E-03
1511,747.733,0.0007477,747.7333000,0.7477333,8.573562E-05,9.259353E-03
1521,774.853,0.0007749,774.8531000,0.7748531,8.3913495E-05,9.160431E-03
1531,768.199,0.0007682,768.1994000,0.7681994,6.201122E-05,7.87472E-03
1541,777.170,0.0007772,777.1699000,0.7771699,6.9237125E-05,8.320885E-03
1551,776.209,0.0007762,776.2089000,0.7762089,5.6469224E-05,7.5146006E-03
1561,782.106,0.0007821,782.1061000,0.7821061,9.8742545E-05,9.936929E-03
1571,806.860,0.0008069,806.8602000,0.8068602,9.263167E-05,9.624535E-03
1581,807.649,0.00080765,807.64896000,0.80764896,1.00508754E-04,1.0025405E-02
1591,791.153,0.0007912,791.1531000,0.7911531,9.0122565E-05,9.49329E-03
1601,805.757,0.0008058,805.7572000,0.8057572,6.56984E-05,8.105455E-03
1611,831.348,0.0008313,831.3478000,0.8313478,3.8998868E-04,1.974813E-02
1621,826.206,0.0008262,826.2058000,0.8262058,1.1593978E-04,1.0767533E-02
1631,816.293,0.0008163,816.2931000,0.8162931,5.8173497E-05,7.627155E-03
1641,831.354,0.0008314,831.3539000,0.8313539,4.7248435E-05,6.8737497E-03
1651,828.773,0.0008288,828.7728000,0.8287728,1.00532525E-04,1.0026591E-02
1661,838.935,0.00083893,838.93496000,0.83893496,3.5644593E-04,1.8879775E-02
1671,836.152,0.00083615,836.15166000,0.83615166,6.485275E-05,8.05312E-03
1681,840.725,0.00084072,840.72477000,0.84072477,7.896027E-05,8.885959E-03
1691,860.857,0.00086086,860.85683000,0.86085683,6.84932E-05,8.276062E-03
1701,869.566,0.000870,869.566000,0.869566,9.744454E-05,9.8714E-03
1711,876.293,0.0008763,876.2928000,0.8762928,6.9287955E-05,8.323939E-03
1721,879.501,0.0008795,879.5006000,0.8795006,5.571608E-05,7.4643204E-03
1731,898.300,0.0008983,898.2995000,0.8982995,7.898061E-04,2.810349E-02
1741,881.328,0.0008813,881.3279000,0.8813279,1.0168107E-04,1.0083703E-02
1751,896.601,0.00089660,896.60096000,0.89660096,1.3303672E-04,1.1534154E-02
1761,887.807,0.0008878,887.8067000,0.8878067,1.3196394E-04,1.1487556E-02
1771,917.056,0.0009171,917.0562000,0.9170562,1.7121907E-04,1.3085071E-02
1781,878.035,0.00087803,878.03483000,0.87803483,2.0772748E-04,1.4412754E-02
1791,924.209,0.0009242,924.2087000,0.9242087,1.506105E-04,1.2272347E-02
1801,922.632,0.0009226,922.6315000,0.9226315,1.8118438E-04,1.3460475E-02
1811,935.088,0.0009351,935.0884000,0.9350884,1.1811661E-04,1.0868146E-02
1821,935.189,0.0009352,935.1889000,0.9351889,1.5987651E-04,1.26442285E-02
1831,952.683,0.0009527,952.6834000,0.9526834,3.4710122E-04,1.8630652E-02
1841,968.776,0.000969,968.776000,0.968776,7.1411807E-04,2.6722988E-02
1851,955.014,0.0009550,955.0139000,0.9550139,6.619445E-05,8.135997E-03
1861,960.143,0.0009601,960.1428000,0.9601428,3.3609854E-04,1.833299E-02
1871,960.760,0.0009608,960.7597000,0.9607597,2.0948474E-04,1.4473588E-02
1881,979.187,0.00097919,979.18713000,0.97918713,9.6277254E-05,9.812097E-03
1891,977.916,0.0009779,977.9157000,0.9779157,1.3582227E-04,1.1654281E-02
1901,992.890,0.0009929,992.8903000,0.9928903,1.8185252E-04,1.3485271E-02
1911,993.884,0.000994,993.884000,0.993884,1.993743E-04,1.4119997E-02
1921,1010.500,0.0010105,1010.5001000,1.0105001,1.7958142E-04,1.3400799E-02
1931,1022.356,0.0010224,1022.3564000,1.0223564,1.4494898E-04,1.2039476E-02
1941,1024.524,0.0010245,1024.5242000,1.0245242,4.0560943E-04,2.0139748E-02
1951,1036.208,0.0010362,1036.2084000,1.0362084,1.791278E-04,1.33838635E-02
